Reason_1,Reason_2,Reason_3,Reason_4,Month Value,Day of the Week,Transportation Expense,Distance to Work,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Date
0,0,0,1,7,1,36,33,239.554,30,1,2,1,4,2015-07-07
0,0,0,0,7,1,13,50,239.554,31,1,1,0,0,2015-07-14
0,0,0,1,7,2,51,38,239.554,31,1,0,0,2,2015-07-15
1,0,0,0,7,3,5,39,239.554,24,1,2,0,4,2015-07-16
0,0,0,1,7,3,36,33,239.554,30,1,2,1,2,2015-07-23
0,0,0,1,7,4,51,38,239.554,31,1,0,0,2,2015-07-10
0,0,0,1,7,4,52,28,239.554,27,1,1,4,8,2015-07-17
0,0,0,1,7,4,50,36,239.554,23,1,4,0,4,2015-07-24
0,0,1,0,7,0,12,34,239.554,25,1,2,0,40,2015-07-06
0,0,0,1,7,0,11,37,239.554,29,3,1,1,8,2015-07-13
1,0,0,0,7,0,50,36,239.554,23,1,4,0,8,2015-07-20
1,0,0,0,7,1,50,36,239.554,23,1,4,0,8,2015-07-14
1,0,0,0,7,2,50,36,239.554,23,1,4,0,8,2015-07-15
1,0,0,0,7,2,51,38,239.554,31,1,0,0,1,2015-07-15
0,0,0,1,7,2,51,38,239.554,31,1,0,0,4,2015-07-15
1,0,0,0,7,4,25,41,239.554,23,1,0,0,8,2015-07-17
0,0,0,1,7,4,51,38,239.554,31,1,0,0,2,2015-07-17
0,0,1,0,7,0,51,38,239.554,31,1,0,0,8,2015-07-27
1,0,0,0,7,3,29,33,239.554,25,1,2,2,8,2015-07-30
0,0,0,1,8,2,25,47,205.917,32,1,2,1,2,2015-08-05
1,0,0,0,8,2,16,28,205.917,25,2,0,0,8,2015-08-12
1,0,0,0,8,0,51,38,205.917,31,1,0,0,1,2015-08-03
1,0,0,0,8,0,52,28,205.917,27,1,1,4,40,2015-08-10
0,0,0,1,8,4,50,36,205.917,23,1,4,0,4,2015-08-14
0,0,1,0,8,0,36,33,205.917,30,1,2,1,8,2015-08-17
0,0,0,1,8,0,52,28,205.917,27,1,1,4,7,2015-08-24
0,0,0,1,8,1,36,33,205.917,30,1,2,1,1,2015-08-04
0,0,0,1,8,2,27,29,205.917,22,1,0,0,4,2015-08-12
0,0,1,0,8,2,36,33,205.917,30,1,2,1,8,2015-08-19
0,0,0,1,8,4,51,38,205.917,31,1,0,0,2,2015-08-28
0,0,1,0,8,0,51,38,205.917,31,1,0,0,8,2015-08-17
0,0,1,0,8,3,29,48,205.917,33,1,1,5,8,2015-08-27
0,0,0,1,8,3,11,37,205.917,29,3,1,1,4,2015-08-27
0,0,1,0,8,0,29,48,205.917,33,1,1,5,8,2015-08-17
0,0,0,1,8,0,51,38,205.917,31,1,0,0,2,2015-08-17
0,0,0,1,8,0,52,28,205.917,27,1,1,4,1,2015-08-17
0,0,0,1,8,1,36,33,205.917,30,1,2,1,8,2015-08-04
1,0,0,0,8,3,50,32,205.917,23,1,0,0,4,2015-08-20
0,0,0,1,8,4,29,48,205.917,33,1,1,5,8,2015-08-21
0,0,0,1,8,4,50,36,205.917,23,1,4,0,4,2015-08-28
0,0,0,1,9,1,42,27,241.476,21,1,0,0,2,2015-09-01
0,0,0,1,9,0,10,37,241.476,28,1,0,0,4,2015-09-07
0,0,0,1,9,1,51,38,241.476,31,1,0,0,4,2015-09-01
0,0,1,0,9,1,20,43,241.476,38,1,1,0,8,2015-09-08
0,0,0,1,9,2,12,34,241.476,25,1,2,0,2,2015-09-09
0,0,0,1,9,6,10,37,241.476,28,1,0,0,3,2015-09-13
0,0,0,1,9,0,51,38,241.476,31,1,0,0,3,2015-09-14
0,0,0,1,9,3,31,40,241.476,25,1,1,1,4,2015-09-24
0,0,0,1,9,4,50,36,241.476,23,1,4,0,8,2015-09-04
1,0,0,0,9,0,31,40,241.476,25,1,1,1,32,2015-09-14
0,0,0,0,9,0,50,36,241.476,23,1,4,0,0,2015-09-21
0,0,0,0,9,0,26,28,241.476,24,1,1,2,0,2015-09-28
0,0,0,1,9,1,26,28,241.476,24,1,1,2,2,2015-09-08
0,0,0,1,9,1,10,37,241.476,28,1,0,0,2,2015-09-15
0,0,0,0,9,1,36,33,241.476,30,1,2,1,0,2015-09-22
0,0,0,0,9,1,13,50,241.476,31,1,1,0,0,2015-09-29
0,0,1,0,9,2,26,28,241.476,24,1,1,2,3,2015-09-16
0,0,0,1,9,2,51,38,241.476,31,1,0,0,3,2015-09-23
0,0,0,0,9,2,17,31,241.476,25,1,3,0,0,2015-09-30
0,0,0,1,9,4,25,47,241.476,32,1,2,1,1,2015-09-11
0,0,0,1,9,4,51,38,241.476,31,1,0,0,3,2015-09-18
0,0,0,1,9,4,50,36,241.476,23,1,4,0,4,2015-09-25
0,0,0,1,10,1,51,38,253.465,31,1,0,0,3,2015-10-06
0,0,0,1,10,1,10,37,253.465,28,1,0,0,3,2015-10-13
0,0,0,0,10,2,13,50,253.465,31,1,1,0,0,2015-10-14
0,0,0,1,10,3,26,30,253.465,19,3,0,0,1,2015-10-15
0,0,0,1,10,4,51,38,253.465,31,1,0,0,3,2015-10-16
0,0,0,1,10,4,26,28,253.465,24,1,1,2,3,2015-10-16
0,0,0,1,10,1,10,37,253.465,28,1,0,0,3,2015-10-06
0,0,0,1,10,2,26,28,253.465,24,1,1,2,2,2015-10-14
0,0,0,1,10,2,25,47,253.465,32,1,2,1,2,2015-10-21
0,0,0,1,10,3,31,40,253.465,25,1,1,1,5,2015-10-22
0,0,0,1,10,2,51,38,253.465,31,1,0,0,8,2015-10-21
0,0,0,1,10,2,26,28,253.465,24,1,1,2,3,2015-10-21
0,0,1,0,10,3,50,36,253.465,23,1,4,0,16,2015-10-22
1,0,0,0,10,1,31,40,253.465,25,1,1,1,8,2015-10-13
0,0,0,1,10,1,26,28,253.465,24,1,1,2,2,2015-10-20
0,0,0,1,10,2,36,33,253.465,30,1,2,1,8,2015-10-21
0,0,0,1,10,4,52,28,253.465,27,1,1,4,1,2015-10-23
0,0,0,1,10,4,50,36,253.465,23,1,4,0,3,2015-10-30
0,0,0,1,11,3,51,38,306.345,31,1,0,0,1,2015-11-05
0,0,0,1,11,2,26,28,306.345,24,1,1,2,1,2015-11-04
1,0,0,0,11,3,51,38,306.345,31,1,0,0,8,2015-11-05
0,0,1,0,11,3,22,40,306.345,22,2,2,0,8,2015-11-12
0,0,0,1,11,3,31,40,306.345,25,1,1,1,5,2015-11-19
1,0,0,0,11,0,12,34,306.345,25,1,2,0,32,2015-11-02
0,0,0,1,11,0,29,33,306.345,25,1,2,2,8,2015-11-09
1,0,0,0,11,0,31,40,306.345,25,1,1,1,40,2015-11-16
0,0,0,1,11,2,26,28,306.345,24,1,1,2,1,2015-11-18
1,0,0,0,11,4,12,34,306.345,25,1,2,0,8,2015-11-20
0,0,0,1,11,2,26,28,306.345,24,1,1,2,3,2015-11-18
0,0,1,0,11,2,22,40,306.345,22,2,2,0,8,2015-11-25
1,0,0,0,11,4,26,28,306.345,24,1,1,2,3,2015-11-20
0,0,0,1,11,4,50,36,306.345,23,1,4,0,4,2015-11-27
0,0,0,1,11,0,25,47,306.345,32,1,2,1,1,2015-11-02
0,0,0,1,11,1,26,28,306.345,24,1,1,2,3,2015-11-10
1,0,0,0,11,2,36,33,306.345,30,1,2,1,24,2015-11-11
0,0,0,1,11,3,31,40,306.345,25,1,1,1,3,2015-11-26
0,0,0,1,12,1,25,47,261.306,32,1,2,1,1,2015-12-01
0,0,1,0,12,1,10,37,261.306,28,1,0,0,64,2015-12-01
0,0,0,1,12,2,13,50,261.306,31,1,1,0,2,2015-12-02
0,0,0,1,12,2,11,37,261.306,29,3,1,1,8,2015-12-02
0,0,0,1,12,3,26,28,261.306,24,1,1,2,2,2015-12-03
0,0,0,1,12,4,50,36,261.306,23,1,4,0,8,2015-12-04
0,0,1,0,12,1,10,37,261.306,28,1,0,0,56,2015-12-08
0,0,0,1,12,2,52,28,261.306,27,1,1,4,8,2015-12-09
0,0,0,1,12,3,26,28,261.306,24,1,1,2,3,2015-12-10
0,0,0,1,12,4,50,36,261.306,23,1,4,0,3,2015-12-11
0,0,0,1,12,1,26,28,261.306,24,1,1,2,2,2015-12-15
0,0,0,1,12,2,52,28,261.306,27,1,1,4,8,2015-12-16
0,0,0,1,12,4,10,37,261.306,28,1,0,0,2,2015-12-11
0,0,1,0,12,4,25,41,261.306,23,1,0,0,8,2015-12-18
0,0,0,1,12,4,26,28,261.306,24,1,1,2,2,2015-12-18
0,0,0,1,1,2,26,28,308.593,24,1,1,2,1,2016-01-06
0,0,1,0,1,0,10,37,308.593,28,1,0,0,1,2016-01-04
0,0,0,1,1,1,10,37,308.593,28,1,0,0,1,2016-01-05
0,0,1,0,1,1,12,34,308.593,25,1,2,0,8,2016-01-05
0,0,0,1,1,2,26,28,308.593,24,1,1,2,2,2016-01-06
0,0,0,1,1,3,42,27,308.593,21,1,0,0,2,2016-01-07
0,0,0,1,1,3,26,28,308.593,24,1,1,2,2,2016-01-07
0,0,0,1,1,4,26,28,308.593,24,1,1,2,1,2016-01-08
0,0,0,1,1,0,10,37,308.593,28,1,0,0,2,2016-01-11
0,0,0,1,1,1,26,28,308.593,24,1,1,2,2,2016-01-12
0,0,0,1,1,1,10,37,308.593,28,1,0,0,2,2016-01-12
0,0,0,1,1,2,10,37,308.593,28,1,0,0,2,2016-01-13
0,0,0,1,1,3,10,37,308.593,28,1,0,0,2,2016-01-14
0,0,0,1,1,4,10,37,308.593,28,1,0,0,2,2016-01-15
0,0,0,1,1,0,10,37,308.593,28,1,0,0,2,2016-01-11
0,0,0,1,1,1,10,37,308.593,28,1,0,0,2,2016-01-12
0,0,1,0,1,1,26,30,308.593,19,3,0,0,8,2016-01-12
0,0,1,0,1,1,36,33,308.593,30,1,2,1,8,2016-01-12
0,0,0,1,1,2,10,37,308.593,28,1,0,0,2,2016-01-13
